movie_id;director
76492;Genndy Tartakovsky
4523;Kevin Lima
59961;Daniel Espinosa
10481;Kevin Lima
59108;Brett Ratner
1581;Nancy Meyers
9798;Tony Scott
22897;Nancy Meyers
298;Steven Soderbergh
7484;Jill Culton
157350;Neil Burger
853;Jean-Jacques Annaud
10159;Peter Berg
9593;John McTiernan
1904;Rob Marshall
9615;Justin Lin
51052;Barry Cook
297;Martin Brest
9884;Andrew Davis
16858;Bob Fosse
62764;Tarsem Singh
22538;Edgar Wright
9341;Jon Amiel
12107;Peter Segal
9637;Raja Gosnell
49049;Pete Travis
9339;Frank Coraci
16281;George A. Romero
39691;Brad Peyton
8247;Doug Liman
11253;Guillermo del Toro
1949;David Fincher
8452;Roger Spottiswoode
310;Tom Shadyac
27578;Sylvester Stallone
954;Brian De Palma
70160;Gary Ross
45243;Todd Phillips
364;Tim Burton
7518;Karey Kirkpatrick
11544;Chris Sanders
9986;Gary Winick
8656;Mimi Leder
146216;Dean Parisot
9291;Peter Segal
55301;Mike Mitchell
109418;Dennis Dugan
11665;Peter Segal
6964;Nancy Meyers
11324;Martin Scorsese
12193;Seth Gordon
9928;Chris Wedge
754;John Woo
10202;Adam Shankman
4147;Sam Mendes
50546;Dennis Dugan
1701;Simon West
13027;D.J. Caruso
2289;Anthony Minghella
20504;Albert Hughes
9574;Les Mayfield
11618;Jan de Bont
2300;Joe Pytka
12096;Shawn Levy
10200;Scott Derrickson
8834;Richard Donner
228150;David Ayer
6068;Ivan Reitman
41515;Eric Brevig
9023;Kelly Asbury
38317;Frank Coraci
2157;Stephen Hopkins
14462;Jonathan Demme
161795;Henry Jaglom
159824;Genndy Tartakovsky
49948;James Algar
2135;Simon Wells
9822;Ron Underwood
9705;Dominic Sena
1656;Martin Campbell
12159;Vincent Ward
9678;Steven Brill
4442;Terry Gilliam
75;Tim Burton
330770;Lucile Hadzihalilovic
9433;Lee Tamahori
19959;Jonathan Mostow
11973;Roger Donaldson
11228;Rob Cohen
77951;Barry Cook
5491;Roger Christian
10715;Joe Dante
10197;Rob Marshall
9562;Richard Donner
9922;Kevin Costner
9447;George Miller
274854;Breck Eisner
8870;Antony Hoffman
9992;Luc Besson
36970;Jacques Perrin
10077;Peter Hyams
76649;Paul W.S. Anderson
293644;Andrés Couturier
453;Ron Howard
8587;Roger Allers
72545;Brad Peyton
109451;Cody Cameron
9533;Brett Ratner
2023;Joe Johnston
71880;Dennis Dugan
584;John Singleton
309809;Mark Osborne
4858;Oliver Hirschbiegel
17711;Des McAnuff
328111;Chris Renaud
8698;Stephen Norrington
93456;Pierre Coffin
602;Roland Emmerich
330;Steven Spielberg
953;Eric Darnell
9693;Alfonso Cuarón
36657;Bryan Singer
8909;Timur Bekmambetov
9802;Michael Bay
950;Carlos Saldanha
1824;Peter Segal
2976;Adam Shankman
11026;Renny Harlin
332;David Kellogg
75656;Louis Leterrier
38365;Dennis Dugan
594;Steven Spielberg
15189;Thor Freudenthal
11678;Martin Campbell
6538;Mike Nichols
10555;Vicky Jenson
1125;Bill Condon
4551;F. Gary Gray
612;Steven Spielberg
9567;Antoine Fuqua
37821;Robert Luketic
203801;Guy Ritchie
2539;James L. Brooks
9297;Gil Kenan
3172;Barry Levinson
6520;Jerry Zucker
1439;Andy Tennant
37958;Tarsem Singh
2026;Florent-Emilio Siri
7450;Gary Goldman
11375;Ron Shelton
9425;Paul W.S. Anderson
25769;Àlex Pastor
23685;Henry Selick
11866;John Moore
9741;M. Night Shyamalan
211672;Kyle Balda
23629;Zack Snyder
8688;Brian De Palma
10153;Barry Levinson
153518;Fergal Reilly
8676;Andy Tennant
20829;Judd Apatow
4349;Peter Berg
9718;Adam McKay
10808;Steve Carr
197;Mel Gibson
25;Sam Mendes
35;David Silverman
11086;Frank Darabont
10477;Renny Harlin
1997;Jean-Jacques Annaud
6947;M. Night Shyamalan
3050;Betty Thomas
2675;M. Night Shyamalan
809;Andrew Adamson
920;John Lasseter
4806;Garry Marshall
7451;Rob Cohen
228165;Paul Tibbitt
3595;Ron Howard
16869;Quentin Tarantino
879;Steven Spielberg
1573;Renny Harlin
9257;Clark Johnson
1903;Cameron Crowe
9697;M. Night Shyamalan
395;Paul W.S. Anderson
23398;Betty Thomas
10590;Randall Wallace
117263;Antoine Fuqua
200;Jonathan Frakes
44943;Jonathan Liebesman
587;Tim Burton
10395;Mike Nichols
57212;Steven Spielberg
152760;George Clooney
2756;James Cameron
33909;Oliver Stone
49017;Gary Shore
9882;Edward Zwick
2270;Matthew Vaughn
978;Jean-Jacques Annaud
44564;Ron Howard
3132;Joel Schumacher
8814;Andrzej Bartkowiak
8427;Betty Thomas
52520;Måns Mårlind
80585;Adam Shankman
10592;Gregory Hoblit
49021;Gary McKendry
11535;John McTiernan
10550;Wych Kaosayananda
11258;Mikael Salomon
12610;Bobby Farrelly
59981;Dan St. Pierre
201088;Michael Mann
5137;Kerry Conran
3093;Michael Caton-Jones
107846;Mikael Håfström
188207;Renny Harlin
4614;Phil Alden Robinson
24021;David Slade
11371;Frank Oz
20352;Pierre Coffin
11517;Joseph Ruben
214756;Seth MacFarlane
26428;Alejandro Amenábar
9824;Kinka Usher
48988;Bobby Farrelly
9008;Michael Mann
300673;Craig Gillespie
12113;Ridley Scott
38778;Jay Roach
72331;Timur Bekmambetov
1844;Jon Amiel
846;Rob Bowman
9703;Doug Lefler
857;Steven Spielberg
136797;Scott Waugh
3981;Nancy Meyers
425;Chris Wedge
6171;Lawrence Kasdan
72976;Steven Spielberg
603;Lilly Wachowski
568;Ron Howard
9021;Michael Lembeck
82695;Tom Hooper
9489;Nora Ephron
12133;Adam McKay
9342;Martin Campbell
41733;Todd Phillips
227306;Angelina Jolie
5551;Clint Eastwood
9350;Renny Harlin
9208;John Woo
4244;Jon Turteltaub
1852;Oliver Stone
11820;Mike Newell
76493;Larry Charles
345;Stanley Kubrick
196867;Will Gluck
256591;Glenn Ficarra
59962;McG
36648;David S. Goyer
1880;John Milius
9440;Mike Nichols
71679;Paul W.S. Anderson
10483;Paul W.S. Anderson
11412;Renny Harlin
11983;Taylor Hackford
6795;Jon Favreau
550;David Fincher
11170;McG
9292;Michael Lehmann
10783;Nora Ephron
100241;Stuart Beattie
257;Roman Polanski
9947;Rob Bowman
189;Robert Rodriguez
12618;Sydney Pollack
253412;Baltasar Kormákur
1427;Tom Tykwer
818;Jay Roach
16577;David Bowers
329;Steven Spielberg
12160;Lawrence Kasdan
9331;Phillip Noyce
300168;Daniel Lee
9072;Keenen Ivory Wayans
3536;Jonathan Mostow
9087;Rob Reiner
12177;Marco Schnabel
12138;Demian Lichtenstein
273248;Quentin Tarantino
9955;Josh Gordon
50359;Tim Hill
1271;Zack Snyder
693;Jay Roach
14306;David Frankel
497;Frank Darabont
11199;Walt Becker
9982;Mark Dindal
210577;David Fincher
2501;Doug Liman
710;Martin Campbell
2275;Simon West
37165;Peter Weir
9837;Simon Wells
10708;Steve Carr
136400;Baltasar Kormákur
10992;Lawrence Guterman
9654;F. Gary Gray
2642;Marc Lawrence
8916;Eric Darnell
19899;Peter Billingsley
2119;Tony Scott
9641;Adam Shankman
294254;Wes Ball
38167;Ryan Murphy
5994;Brett Ratner
39514;Robert Schwentke
9563;Oliver Stone
547;Robert Redford
1538;Michael Mann
9334;Chuck Russell
11128;Jay Russell
75780;Christopher McQuarrie
8914;Renny Harlin
13576;Kenny Ortega
39538;Steven Soderbergh
10628;David McNally
14836;Henry Selick
8645;M. Night Shyamalan
9509;Tony Scott
10067;Brian Robbins
9384;Todd Phillips
9279;Brian Levant
1487;Guillermo del Toro
9422;Steven Zaillian
77174;Sam Fell
4824;Michael Caton-Jones
9620;John Woo
9302;Jon Avnet
10199;Robert Stevenhagen
10771;Kevin Donovan
3512;Geoff Murphy
137094;Kenneth Branagh
274479;David O. Russell
267860;Babak Najafi
8078;Jean-Pierre Jeunet
7485;Antoine Fuqua
170687;Anthony Stacchi
6435;Griffin Dunne
137106;Phil Lord
10040;John Pasquin
6278;Rob Bowman
82682;Ruben Fleischer
17610;Harold Ramis
22954;Clint Eastwood
16995;Kevin Macdonald
16558;Tony Gilroy
9849;Donald Petrie
5820;Clark Johnson
16866;Jorge Blanco
201;Stuart Baird
11775;Joel Coen
87825;Robert Lorenz
12201;Martin Campbell
11015;Peter Hyams
9932;Harold Ramis
13389;Jon Avnet
8838;Harold Becker
17332;Joe Wright
4958;Robert Redford
786;Cameron Crowe
9513;Tim Hill
11679;Lee Tamahori
38321;Scott Stewart
14411;Tim Johnson
8413;Paul W.S. Anderson
10052;Tom Shadyac
9676;Brian De Palma
9664;Tony Bill
2100;Rod Lurie
10384;Walter Hill
137321;Akiva Goldsman
123553;Harald Zwart
11260;Brian Robbins
9009;Walter Salles
11374;Ron Howard
2309;Iain Softley
8285;Frank Miller
210860;David Koepp
2312;Uwe Boll
9839;Martin Campbell
381902;Soi Cheang
13922;John Dahl
293660;Tim Miller
9713;Stephen Herek
190859;Clint Eastwood
257445;Rob Letterman
9007;Mark Waters
889;Brian Levant
1370;Peter MacDonald
4942;George Clooney
347969;Frank Coraci
24438;Marc Lawrence
116741;Shawn Levy
35791;Paul W.S. Anderson
72431;Anthony Hemingway
1813;Taylor Hackford
87428;Sean Anders
8840;Rob Cohen
10589;Brett Ratner
71676;Brian Taylor
1722;John Madden
10022;Adam Shankman
11358;Kevin Bray
13;Robert Zemeckis
6477;Tim Hill
1597;Jay Roach
10530;Mike Gabriel
1924;Richard Donner
9327;Tom Shadyac
8488;Andy Tennant
10603;Sam Weisman
8273;Jesse Dylan
109424;Paul Greengrass
35056;Shawn Levy
8839;Brad Silberling
156022;Antoine Fuqua
7303;Wayne Wang
8963;Tony Scott
1402;Gabriele Muccino
9315;Robert Schwentke
8984;Barry Levinson
795;Brad Silberling
24;Quentin Tarantino
11353;Frank Oz
393;Quentin Tarantino
9618;Andrei Konchalovsky
9374;Robert Zemeckis
8584;Tom Dey
2320;Stuart Baird
58224;Mark Waters
1729;Rob Minkoff
175574;Jimmy Hayward
8077;David Fincher
8818;Alan Parker
8195;John Frankenheimer
10586;Stephen Hopkins
116149;Paul King
80035;Akiva Schaffer
10632;William Friedkin
12117;Jon Turteltaub
1792;Bobby Farrelly
13260;Kent Alterman
72197;Peter Lord
3580;Clint Eastwood
12123;Andrew Davis
9566;Tony Scott
9833;Joel Schumacher
4517;Shekhar Kapur
8202;Karyn Kusama
16072;Ronald F. Maxwell
34314;Robert Butler
19724;Karey Kirkpatrick
145220;James Bobin
14623;Jonathan Frakes
42297;Steve Antin
2841;Jean-Pierre Jeunet
802;Stanley Kubrick
10375;Jim Gillespie
36586;Guillermo del Toro
11321;Gabriele Muccino
70074;Walter Hill
242;Francis Ford Coppola
9621;Cameron Crowe
1819;Anthony Russo
8536;Richard Lester
8046;Martin Brest
1717;Steven Zaillian
479;John Singleton
9444;Gary Goldman
824;Baz Luhrmann
11456;Harold Becker
261023;Scott Cooper
3683;Clint Eastwood
22803;F. Gary Gray
285923;Robert Rodriguez
39437;Jonathan Demme
1950;Curtis Hanson
640;Steven Spielberg
97630;Kathryn Bigelow
9767;Peyton Reed
11631;Phyllida Lloyd
32856;Garry Marshall
6519;Jay Chandrasekhar
8741;Terrence Malick
49520;David Dobkin
1850;Milo¨ Forman
524;Martin Scorsese
26389;Pierre Morel
11817;Paul Hunter
2123;Bobby Farrelly
9907;Steve Oedekerk
9969;John Whitesell
18239;Chris Weitz
808;Andrew Adamson
38050;George Nolfi
8367;Kevin Reynolds
9390;Cameron Crowe
72105;Seth MacFarlane
2898;James L. Brooks
10312;Tom Shadyac
109443;Adam McKay
2022;Steven Brill
37686;J.J. Abrams
462;Steven Soderbergh
9919;Donald Petrie
187017;Phil Lord
628;Neil Jordan
10201;Peyton Reed
302699;Rawson Marshall Thurber
9441;Chris Columbus
274167;Sean Anders
224141;Rob Marshall
388;Spike Lee
2112;Brian Helgeland
10329;Frank Marshall
74465;Cameron Crowe
13811;Alex Proyas
6877;Tom Dey
10320;Hideo Nakata
50646;Glenn Ficarra
8920;Peter Hewitt
13673;Joe Roth
60308;Bennett Miller
6950;Wolfgang Petersen
225574;Jaume Collet-Serra
13836;Andy Fickman
752;James McTeigue
6038;David Dobkin
9975;Matthew O'Callaghan
11451;Angela Robinson
12103;Gary Fleder
60304;Tommy Wirkola
2251;Adrian Lyne
46529;D.J. Caruso
231;Stephen Gaghan
300671;Michael Bay
228326;Jorge R. Gutierrez
9754;Richard Loncraine
66;Clint Eastwood
4421;Ridley Scott
2649;David Fincher
588;Christophe Gans
10393;Howard Deutch
71552;Jon Hurwitz
9631;F. Gary Gray
216282;Steven Quale
306;John Landis
928;Joe Dante
205587;David Dobkin
6623;Mimi Leder
1577;Alexander Witt
9801;Beeban Kidron
2116;Carl Franklin
9624;Steven Seagal
14199;Robert Rodriguez
1907;Danny Boyle
4599;Garry Marshall
22832;James McTeigue
10390;Sam Raimi
9879;Andrew Bergman
38579;Tom Dey
44603;Clint Eastwood
11892;Barbet Schroeder
9691;Richard Donner
1248;Peter Webber
12220;Rob Reiner
72710;Andrew Niccol
10782;John McTiernan
9573;Clint Eastwood
4959;Tom Tykwer
10061;John Carpenter
10386;Brad Bird
421;Wes Anderson
316152;Gary Ross
11615;Alan Parker
13498;Stephen Herek
241554;Jaume Collet-Serra
2252;David Cronenberg
11968;John Stockwell
10047;Luc Besson
38319;David Gordon Green
69668;Jim Sheridan
9770;Costa-Gavras
11212;Patrick Read Johnson
10533;Roland Joffé
38363;Doug Liman
9923;Tony Scott
11863;William Friedkin
18501;Brian Taylor
109491;Richard LaGravenese
9275;Danny DeVito
329833;Ben Stiller
12634;George Armitage
10416;Mike Nichols
47327;Patrick Lussier
15268;Andrzej Bartkowiak
10796;James Wong
9548;Renny Harlin
18947;Richard Curtis
1900;Steven Soderbergh
89;Steven Spielberg
96724;Joe Wright
198184;Neill Blomkamp
9481;Phillip Noyce
4547;David Fincher
53953;Chuck Bowman
6415;David O. Russell
181283;Daniel Espinosa
9896;Jerry Zucker
167;Iain Softley
11232;James Mangold
1636;Harold Ramis
2148;Francis Ford Coppola
5176;James Mangold
260346;Olivier Megaton
1389;Steven Soderbergh
9894;Ben Stiller
7504;Deepa Mehta
8592;Warren Beatty
913;John McTiernan
11091;Penny Marshall
1368;Ted Kotcheff
593;Andrei Tarkovsky
5393;Yvette Kaplan
9095;Stephen Frears
8874;P.J. Hogan
11467;Joe Roth
320;Christopher Nolan
199;Jonathan Frakes
20533;Jimmy Hayward
10684;Edward Zwick
1624;Tom Shadyac
325789;Brad Furman
113464;Terence Young
888;Brian Levant
82675;Olivier Megaton
4256;David Zucker
1493;Donald Petrie
88751;Eric Brevig
11130;Garry Marshall
9944;Alan J. Pakula
10731;Joel Schumacher
7350;Rob Reiner
9869;Phillip Noyce
4379;Robert Luketic
146233;Denis Villeneuve
2034;Antoine Fuqua
926;Dean Parisot
4248;Keenen Ivory Wayans
64328;James Bobin
36647;Stephen Norrington
7214;Thomas Carter
1537;Roger Michell
9360;Luis Llosa
6282;David McNally
508;Richard Curtis
9487;Andrew Stanton
768;Albert Hughes
2636;Luis Llosa
10478;Ron Shelton
27983;Melville Shavelson
9981;Jesse Dylan
7453;Garth Jennings
15045;Joel Zwick
7737;Russell Mulcahy
232672;Frank Coraci
17379;Wayne Wang
8987;Curtis Hanson
11359;Frank Oz
82525;Oliver Stone
9759;David R. Ellis
9486;Peter Howitt
9906;John A. Davis
841;David Lynch
4688;Julie Taymor
4148;Sam Mendes
2207;Richard Donner
9381;Mathieu Kassovitz
9625;John Gray
9304;Harold Ramis
20856;John Schultz
5955;Sean Penn
9899;Susan Stroman
9826;Simon Wincer
21355;Billy Bob Thornton
10858;Oliver Stone
11439;Roman Polanski
9457;Stephen Sommers
12412;Spike Lee
1494;Zhang Yimou
13184;Danny Pang
2185;Barry Sonnenfeld
6639;Mike Newell
38153;George P. Cosmatos
58233;Oliver Parker
116977;Lawrence Kasanoff
68734;Ben Affleck
5503;Andrew Davis
27573;Andy Tennant
819;Barry Levinson
1369;George P. Cosmatos
9623;Brian Gibson
10895;Ben Sharpsteen
10935;Michael Cimino
834;Len Wiseman
228066;Paul McGuigan
711;Gus Van Sant
10468;Betty Thomas
10027;Louis Leterrier
11812;Roger Kumble
37233;Sydney Pollack
37950;Burr Steers
27582;Simon West
64688;Phil Lord
509;Roger Michell
7443;Nick Park
5966;John Hamburg
11066;Reginald Hudlin
136795;Paul Feig
8095;Joseph L. Mankiewicz
87826;Frank Coraci
11560;Carl Franklin
25189;Barbra Streisand
2637;Mark Pellington
18480;Larry Charles
709;John Glen
49730;Catherine Hardwicke
2749;John Herzfeld
9607;Annabel Jankel
1830;Andrew Niccol
79;Zhang Yimou
54054;Julie Anne Robinson
228967;Seth Rogen
46528;Sngmoo Lee
27936;Jean-Pierre Jeunet
65;Curtis Hanson
280391;Jamel Debbouze
9476;Brian Helgeland
10610;Gordon Chan
745;M. Night Shyamalan
49527;Asger Leth
73937;David Frankel
1885;John G. Avildsen
168672;David O. Russell
18240;Anne Fletcher
10398;Bruce Beresford
165;Robert Zemeckis
240832;Luc Besson
216015;Sam Taylor-Johnson
12279;Robert Rodriguez
1645;Joel Schumacher
11007;Shawn Levy
193756;Peter Berg
11287;Penny Marshall
259693;James Wan
37799;David Fincher
10184;Ken Kwapis
4257;David Zucker
4234;Wes Craven
196;Robert Zemeckis
257091;Etan Cohen
6114;Francis Ford Coppola
24803;Nora Ephron
109410;Brian Helgeland
1213;Anthony Minghella
100042;Bobby Farrelly
9036;Frank Marshall
257211;Nancy Meyers
323675;Tim Story
9361;Michael Mann
1677;Taylor Hackford
187;Robert Rodriguez
7461;Pete Travis
16538;John Hamburg
9889;Bobby Farrelly
820;Oliver Stone
11565;John Whitesell
6073;Gore Verbinski
16996;Burr Steers
193610;Nick Cassavetes
19912;David R. Ellis
296098;Steven Spielberg
8007;John Moore
32823;Nicholas Stoller
4380;Peter Chelsom
11551;Joe Dante
10336;Mark A.Z. Dippé
11362;Kevin Reynolds
50348;Brad Furman
48138;Jaume Collet-Serra
1124;Christopher Nolan
227159;Sean Anders
68179;Callan Brunker
1579;Mel Gibson
708;John Glen
34851;Nimród Antal
9930;Ivan Reitman
1586;David Koepp
2044;Alejandro Agresti
9913;Iain Softley
71864;Peter Hedges
10761;Paul Weiland
209451;Clint Eastwood
11975;Francis Ford Coppola
4970;Mathieu Kassovitz
11831;Steven Spielberg
9096;John McTiernan
440;Colin Strause
11011;Donald Petrie
10641;Joan Chen
11172;Marc Lawrence
39513;Greg Mottola
82687;Anne Fletcher
41446;Wes Craven
8224;Joel Schumacher
10537;Oliver Stone
225886;Jake Kasdan
10385;Diane Keaton
55779;Steven Quale
10154;Kelly Makin
10647;Mimi Leder
11431;Bobby Farrelly
8457;Steven Brill
188161;Seth MacFarlane
8850;Russell Mulcahy
64685;Stephen Daldry
38357;Roger Michell
10060;Jim Sheridan
11398;Christian Duguay
1833;Chris Columbus
10391;Chuck Russell
8970;Sam Weisman
9306;John Frankenheimer
11370;Peter Hyams
12184;Justin Chadwick
1921;Pat O'Connor
1683;Stephen Hopkins
203;Martin Scorsese
